frameID,eventType,player1Position,player2Position,ballPosition,speed
136,,"[4.4, 46.3, 0.0]","[-6.81, -48.42, 0.0]",,
137,,"[4.3, 46.3, 0.0]","[-6.7, -48.42, 0.0]",,
138,,"[4.4, 46.3, 0.0]","[-6.7, -48.42, 0.0]",,
139,,"[4.7, 46.3, 0.0]","[-6.52, -46.81, 0.0]",,
140,,"[5.0, 46.3, 0.0]","[-6.81, -48.42, 0.0]",,
141,,"[5.0, 46.3, 0.0]","[-6.91, -48.42, 0.0]",,
142,,"[5.0, 46.3, 0.0]","[-7.01, -48.42, 0.0]",,
143,,"[5.0, 46.3, 0.0]","[-7.64, -48.41, 0.0]",,
144,p2cp,"[5.0, 46.3, 0.0]","[-7.12, -48.42, 0.0]","[-7.12, -48.42, 3.3]",
145,,"[5.1, 46.3, 0.0]","[-6.91, -48.42, 0.0]",,
146,,"[5.1, 46.3, 0.0]","[-6.28, -48.42, 0.0]",,
147,,"[5.1, 46.3, 0.0]","[-6.26, -50.07, 0.0]",,
148,,"[5.2, 46.3, 0.0]","[-5.97, -48.42, 0.0]",,
149,,"[5.3, 46.3, 0.0]","[-5.97, -48.42, 0.0]",,
150,,"[5.3, 46.3, 0.0]","[-6.18, -48.42, 0.0]",,
151,,"[5.4, 46.3, 0.0]","[-6.47, -50.07, 0.0]",,
152,,"[5.4, 46.3, 0.0]","[-6.55, -51.76, 0.0]",,
153,,"[5.4, 46.3, 0.0]","[-6.47, -50.07, 0.0]",,
154,,"[5.4, 46.3, 0.0]","[-6.36, -50.07, 0.0]",,
155,,"[5.4, 46.3, 0.0]","[-6.36, -50.07, 0.0]",,
156,,"[5.4, 46.3, 0.0]","[-6.28, -48.42, 0.0]",,
157,,"[5.4, 46.3, 0.0]","[-6.39, -48.42, 0.0]",,
158,,"[5.4, 46.3, 0.0]","[-6.47, -50.07, 0.0]",,
159,,"[5.6, 46.3, 0.0]","[-6.47, -50.07, 0.0]",,
160,p2nc,"[5.8, 46.2, 0.0]","[-6.36, -50.07, 0.0]","[-1.4, 0, 5.2]",
161,,"[6.0, 46.2, 0.0]","[-6.28, -48.42, 0.0]",,
162,,"[6.1, 46.2, 0.0]","[-6.18, -48.42, 0.0]",,
163,,"[6.3, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
164,,"[6.5, 46.2, 0.0]","[-5.66, -48.42, 0.0]",,
165,,"[6.6, 46.2, 0.0]","[-5.45, -48.42, 0.0]",,
166,,"[6.8, 46.2, 0.0]","[-5.34, -48.42, 0.0]",,
167,,"[7.0, 46.2, 0.0]","[-5.45, -48.42, 0.0]",,
168,,"[7.2, 46.2, 0.0]","[-5.45, -48.42, 0.0]",,
169,,"[7.4, 46.2, 0.0]","[-5.55, -48.42, 0.0]",,
170,,"[7.6, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
171,p2bb,"[7.7, 46.2, 0.0]","[-5.66, -48.42, 0.0]","[3.8, 29.9, 0]",64.69318571271778
172,,"[7.8, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
173,,"[8.0, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
174,,"[8.1, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
175,,"[8.1, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
176,,"[8.2, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
177,,"[8.3, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
178,,"[8.4, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
179,,"[8.3, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
180,,"[8.4, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
181,,"[8.4, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
182,,"[8.4, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
183,,"[8.3, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
184,p1cp,"[8.3, 46.2, 0.0]","[-5.76, -48.42, 0.0]","(4.63, 47.73, 4.17)",
185,,"[8.2, 46.2, 0.0]","[-5.87, -48.42, 0.0]",,
186,,"[8.2, 46.2, 0.0]","[-5.97, -48.42, 0.0]",,
187,,"[8.3, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
188,,"[8.4, 46.2, 0.0]","[-6.17, -55.3, 0.0]",,
189,,"[8.4, 46.2, 0.0]","[-5.83, -50.07, 0.0]",,
190,,"[8.4, 46.2, 0.0]","[-5.83, -50.07, 0.0]",,
191,,"[8.3, 46.2, 0.0]","[-5.76, -48.42, 0.0]",,
192,,"[8.2, 46.2, 0.0]","[-5.83, -50.07, 0.0]",,
193,,"[8.0, 46.2, 0.0]","[-5.66, -48.42, 0.0]",,
